d_age,d_gender,d_code,cnt,min_cover,average_cover,max_cover,mdn_cover,min_insufee,average_insufee,max_insufee,mdn_insufee
NULL,1,5,2,12000000,20571428.57,30000000,24000000,22073,67173,136038,64311
60,1,7,985,200000,7436531.165,50000000,5000000,0,112725.8645,685600,100000
60,2,1,15981,0,19752999.56,172000000,20000000,0,74211.41739,3504800,53690
60,2,3,7371,10000,3423165.777,50000000,2000000,0,72652.79584,3037085,47580
60,2,5,10537,0,16517284.06,110000000,10000000,0,77451.03692,2506250,55870
NULL,2,5,4,5000000,12142857.14,20000000,10000000,23514,71768,142830,57000
60,2,6,8977,53000,15301788.42,160000000,10000000,0,102665.5873,3504800,90170
60,2,2,2028,200000,8994502.737,80000000,10000000,0,91416.85333,545520,78370
60,2,4,13743,0,17065358.62,160000000,10000000,0,88083.64998,3504800,70155
60,2,7,1775,200000,8398829.932,50000000,5000000,0,88139.8215,545520,75630
