has_insurance,age_group,gender,has_dependent,income,family_history,disease,진료비 총합,급여부분 총합,공단 부담금(급여),민영의료보험 보장금(급여 + 비급여),입원시 급여,입원시 비급여,평균 통원 일일 비용,통원비,본인부담금 총합,급여부분 본인부담 총합,급여부분 본인부담 입원 총합,급여부분 본인부담 통원 총합,비급여부분 본인부담 총합,비급여부분 본인부담 입원 총합,비급여부분본인부담 통원 총합,보험금 수령후 본인부담금,보건의료용 건강기능식품 교통비 가족간병비,생애주기 사망확률,가족력(부모),가족력(형제자매),가족력(전체),가족력 및 건강상태 반영한 질병보장 적정 구성비,일반병원 치료일수,입원치료일수,통원치료일수,요양 치료일수,개인소득 부양가족 무,가구소득 부양가족 유,국민건강보험 민영의료보험 적용 안되는 본인 부담 치료비,일반병원 치료기간생활비,요양병원 치료기간생활비,진단비 필요금액,보건분야 소비자물가지수,생활비 상승률,보건 물가 상승률 반영 진단비 필요금액,,생애주기중 진단비 최고값,,세대주 생활비,월보험료,납기,갱신/비갱신,적정 월납보험료,,월급대비 건강보험료 장기요양보험료,"DB손보기준 
15세 
20세 
30세 
40세 
50세 
60세",users_reg,min_coverage,avg_coverage,max_coverage,mdn_coverage
1,20,1,1,,,2,1977089,1308833,1073243,818481,115133,290290,105912,413058,903846,235590,127925,107665,668256,362863,305393,85365,286000,0.00,0.00,0.00,0.00,-,6,2,4,,일변환,30세미만 가구주,371365,385000,,756365,480016,943445,1423461,-2576539,2748979,-1251021,18737318,,20,비갱신,,,67460,,126126,0,5004436.243,50000000,4000000
1,20,1,1,,,3,10783142,7138440,5903922,4416371,603309,1583259,98013,2229804,4879220,1234518,670343,564175,3644702,1979073,1665629,462849,286000,7.07,9.14,11.10,11.10,3,35,12,23,,64167,가구원수,748849,2245833,9728950,12723632,967941,29344277,30312218,10312218,72195682,52195682,21580601,,20,비갱신,,,사업주,,169416,0,22424730.55,192000000,20000000
1,20,1,1,,,4,3263242,2160266,1644335,1471108,252135,479133,87555,739840,1618907,515931,280151,235780,1102976,598916,504060,147798,286000,7.07,9.14,11.10,11.10,3,13,5,8,,,2,433798,834167,9728950,10996915,560715,25884979,26445695,6445695,55514352,35514352,19394944,,20,비갱신,,,67460,,227285,10000,22726530.9,800000000,20000000
1,20,1,1,,,5,2082633,1378703,1017765,968822,176390,305787,46793,486645,1064868,360938,195989,164949,703930,382234,321696,96046,286000,7.07,9.14,11.10,11.10,3,16,6,10,,,일변환,382046,1026667,9728950,11137662,493822,26356702,26850523,16850523,61754074,51754074,19598274,,20,비갱신,,,,,60687,10000,11615320.68,135000000,10000000
1,20,1,1,,,6,3718627,2461731,2181544,1385370,136927,545996,216138,702447,1537083,280187,152142,128045,1256896,682494,574401,151713,286000,10.22,15.33,15.33,15.33,2,5,2,3,,,117767,437713,320833,9728950,10487496,565776,24627053,25192828,5192828,57644796,37644796,18718638,,20,비갱신,,,,,294066,0,24423809.08,800000000,20000000
1,20,1,1,,,7,1184468,784118,657778,476352,61742,173912,185152,240697,526690,126340,68603,57737,400350,217390,182960,50338,286000,10.22,15.33,15.33,15.33,2,2,1,1,,,,336338,128333,,464672,434741,314482,749223,-9250777,2171081,-7828919,18362180,,20,비갱신,,,,,54855,100000,11505222.37,135000000,10000000
1,20,2,1,,,1,6178887,4090423,3700443,2230461,190583,907229,11029,1132649,2478444,389980,211759,178221,2088464,1134036,954428,247983,286000,15.93,39.83,39.83,55.76,1,158,55,103,,1845000,,533983,9717000,9324630,19575613,705523,50945932,51651455,21651455,87005353,57005353,31824124,,20,비갱신,,,근로자,7027,212425,0,27857284.28,558139000,30000000
1,20,2,1,,,2,1660355,1099155,901307,687359,96688,243785,106734,346885,759048,197848,107431,90417,561200,304732,256468,71689,286000,0.00,0.00,0.00,0.00,-,5,2,3,,일변환,,357689,307500,,665189,472596,822717,1295313,-2704687,2517018,-1482982,18638614,,20,비갱신,,,64660,,82917,0,5233355.895,50000000,4000000
1,20,2,1,,,3,9230027,6110278,5181380,3659403,453952,1355219,109481,1850232,4048647,928898,504392,424506,3119749,1694024,1425725,389244,286000,8.62,11.15,13.53,13.53,3,26,9,17,,61500,,675244,1599000,9324630,11598874,892163,29226201,30118365,10118365,46915458,26915458,20741747,,20,비갱신,,,사업주,,106255,0,22076932.94,220000000,20000000
1,20,2,1,,,4,3086613,2043338,1605474,1344064,213984,453199,94669,676881,1481139,437864,237760,200104,1043275,566498,476777,137076,286000,8.62,11.15,13.53,13.53,3,11,4,7,,,,423076,676500,9324630,10424206,558987,26758050,27317037,7317037,40335374,20335374,19214166,,20,비갱신,,,64660,,147102,10000,22479187.37,558139000,20000000
